20220523	23:25:38	8f6762cc-869f-4c6e-8a31-f6bb26d21be2	POST	undefined	/auth
20220523	23:26:07	8b343bce-f69e-42a6-a998-ac282fab09af	GET	undefined	/employees
20220523	23:26:19	7c69c820-0d4f-4db4-8778-8c2eeaca4e41	DELETE	undefined	/employees
20220523	23:26:47	89d8ed32-84fd-4fa1-804f-57f499db37d7	POST	undefined	/auth
20220523	23:27:12	dcde1df9-a88a-4c9f-8ac7-8cbb41492227	GET	undefined	/employees
20220523	23:28:01	49a15bf1-1d3d-4f94-ab68-7d9c1c17596f	DELETE	undefined	/employees
20220523	23:32:50	3eaaa0de-58f2-41df-b0ad-5c2edfdf3c33	DELETE	undefined	/employees
20220523	23:33:02	6a9cdc55-2e69-4488-8491-0d3eae820479	POST	undefined	/auth
20220523	23:33:31	52c864d6-b70b-4863-8ac5-98117f774042	GET	undefined	/employees
20220523	23:34:23	c36c4771-921c-420f-80cc-3fb81332087f	GET	undefined	/employees
20220523	23:37:19	8c1b5e7a-6fc5-4673-b6c4-3d56b714e016	POST	undefined	/auth
20220523	23:37:44	d53f6b3e-48ad-4b95-86d0-dd9faad631cc	GET	undefined	/employees
20220523	23:38:10	87e4a456-5b12-47fa-a12c-f209910f04e9	DELETE	undefined	/employees
20220523	23:38:33	59357a7e-b327-4844-9a99-f625106c6105	DELETE	undefined	/employees
20220524	11:54:46	a89d628c-da51-4248-97e3-754196c815f6	POST	undefined	/register
20220524	11:55:06	7ca85031-938a-4cca-9677-20e6c4e940f6	POST	undefined	/register
20220524	11:55:54	918ec799-55f3-48df-a31f-f766aeadda9d	POST	undefined	/register
20220524	21:49:40	692b4b55-31b9-4318-adec-b3f6feb42fa0	POST	undefined	/auth
20220524	21:52:23	b9cc1070-c880-402b-8a44-20d132f31225	POST	undefined	/register
20220524	21:54:01	888ec2b6-c643-4724-bf2b-4f8073f06d8d	GET	undefined	/logout
20220524	21:55:15	baa43782-3089-4c1d-923d-b988a23a6be2	POST	undefined	/register
20220524	21:55:53	2d57566d-bdf2-4c30-a94a-2bc4cf97db07	POST	undefined	/register
20220524	21:58:21	b291b411-a638-4e3b-b2e0-b86d5b34822a	GET	undefined	/refresh
20220524	21:59:27	9948ace3-0a42-4d0c-8ee0-84c73e3c9446	GET	undefined	/refresh
20220524	22:00:48	bf1ae446-84de-46ca-a76d-a46f6fd31eeb	POST	undefined	/auth
20220524	22:00:59	d83a7763-c5f2-4043-8dee-ab1ed0c54b4a	GET	undefined	/refresh
